year,hour,day,severity_kabco,lighting,alcohol,pedestrian,pedalcycle,county,city,street,lat,lon
2015,10,Thursday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Pacheco St,35.65933,-105.95937
2015,21,Sunday,C,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,1201Cerrillos Road,35.67275,-105.96147
2015,15,Monday,B,Daylight,0,0,1,Santa Fe,Santa Fe,St Frances Dr,35.67105,-105.95515
2015,17,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Siler Rd,35.65591,-105.99055
2015,17,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,St Francis Dr Us 84/285,35.6622,-105.95643
2015,12,Wednesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,St Mlchael S Dr,35.66267,-105.97721
2015,17,Sunday,C,Daylight,0,1,0,Santa Fe,Santa Fe,2778 Sawmill Drive,35.63911,-105.95863
2015,22,Saturday,C,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Guadalupe St,35.68826,-105.9434
2015,14,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,3251 Cerrillos Rd,35.6508,-105.99905
2015,7,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Alameda Rd,35.68149,-105.97686
2015,13,Sunday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Guadalupe Ave,35.68178,-105.9485
2015,13,Thursday,B,Daylight,0,1,0,Santa Fe,Santa Fe,515 Don Gaspar,35.68122,-105.94105
2015,19,Wednesday,K,Dark-Not Lighted,1,1,0,Santa Fe,Santa Fe,Nm 599,35.63789,-106.07011
2015,13,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Placita De Vida,35.65568,-105.95872
2015,18,Saturday,A,Dark-Lighted,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.64231,-106.01269
2015,19,Monday,K,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,Nterstate 25,35.6086,-106.03
2015,15,Tuesday,B,Daylight,1,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.64958,-106.00102
2016,19,Wednesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.66794,-105.96835
2016,17,Friday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.67995,-105.94927
2016,22,Thursday,K,Dark-Not Lighted,1,1,0,Rio Arriba,,Us Highway 84,36.14949,-106.17455
2016,19,Tuesday,B,Dusk,0,0,1,Santa Fe,La Cienega,19 Los Pinos,35.58987,-106.06948
2016,17,Friday,B,Daylight,0,1,0,Rio Arriba,Espanola,1804 N Mccurdy Rd,36.01909,-106.05776
2016,11,Sunday,A,Daylight,0,1,0,Santa Fe,Santa Fe,Carillos Rd,35.655,-105.99217
2016,7,Wednesday,C,Daylight,0,1,0,Santa Fe,,Avineda Del Sur,35.59895,-106.00483
2016,21,Tuesday,B,Dark-Not Lighted,0,1,0,Santa Fe,El Valle De Arroyo Seco,84 / 285 East Frontage Road,35.96728,-106.03547
2016,13,Friday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Agua Fria,35.65473,-106.02278
2016,8,Monday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Bishops Lodge Rd.,35.71166,-105.89757
2016,20,Thursday,B,Dark-Not Lighted,0,0,1,Santa Fe,Santa Fe,Agua Fria St,35.65473,-106.02278
2016,9,Monday,A,Daylight,0,0,1,Santa Fe,,Caja Del Rio,35.67365,-106.06728
2016,6,Friday,C,Daylight,0,1,0,Santa Fe,El Valle De Arroyo Seco,Boneyard Rd,35.96855,-106.03825
2016,19,Friday,B,Dark-Lighted,1,1,0,Santa Fe,El Valle De Arroyo Seco,U.S. 84-285,35.96896,-106.03775
2016,20,Thursday,B,Dark-Not Lighted,1,0,1,Rio Arriba,Espanola,2615N Mccurdy Rd,36.02611,-106.06004
2016,19,Sunday,A,Dark-Not Lighted,1,1,0,Rio Arriba,Espanola,Paseo De Onate,35.99639,-106.08402
2016,16,Thursday,A,Daylight,0,1,0,Santa Fe,Santa Fe,N. Guadalupe,35.68178,-105.9485
2016,18,Monday,B,Daylight,0,1,0,Rio Arriba,Espanola,Fairview Ln,36.00815,-106.06507
